Date,Open,High,Low,Close,Adj Close,Volume
2007-04-30,53.833332,54.000000,52.366665,53.349998,35.719452,9915279
2007-05-03,53.900002,54.299999,53.383331,53.933334,36.110020,6227817
2007-05-04,54.333332,54.333332,53.299999,53.683334,35.942638,9665793
2007-05-07,53.933334,54.233334,53.200001,53.666664,35.931461,12294486
2007-05-08,53.666664,53.933334,53.049999,53.333332,35.708294,12569373
2007-05-09,53.333332,53.950001,52.966667,53.566666,35.864510,10645320
2007-05-10,54.633331,55.716667,53.549999,54.566666,36.534046,18133374
2007-05-11,54.299999,54.316666,53.383331,54.049999,36.188129,13169133
2007-05-14,54.666664,55.133331,53.833332,54.016666,36.165810,6411639
2007-05-15,54.016666,54.666664,53.583332,54.000000,36.154640,6061332
2007-05-16,54.000000,54.633331,53.333332,54.466667,36.467091,7609812
2007-05-17,54.666664,55.433334,54.349998,55.033333,36.846500,13154118
2007-05-18,54.966667,56.000000,54.183334,55.700001,37.292854,10173561
2007-05-21,56.000000,57.333332,55.916664,56.950001,38.129768,10351035
2007-05-22,57.000000,57.299999,55.183334,56.900002,38.096294,12871134
2007-05-23,56.583332,57.000000,55.200001,55.416664,37.103153,10512870
2007-05-24,55.666664,55.733334,54.883331,55.366665,37.069672,7986645
2007-05-25,55.033333,56.216667,54.366665,55.599998,37.225895,11694642
2007-05-28,56.000000,56.500000,55.166664,55.466667,37.136627,10411944
2007-05-29,56.333332,56.333332,54.816666,55.000000,36.824169,10864395
2007-05-30,55.000000,55.000000,53.383331,54.099998,36.221596,30856977
2007-05-31,54.349998,55.466667,53.700001,54.599998,36.556358,26342982
2007-06-01,54.200001,55.000000,53.383331,53.683334,35.942638,31177521
2007-06-04,54.933334,55.266666,54.066666,54.966667,36.801857,14650335
2007-06-05,54.916664,54.916664,53.716667,53.950001,36.121174,14783877
2007-06-06,55.233334,55.233334,48.333332,52.616665,35.228470,14823645
2007-06-07,52.650002,52.950001,51.500000,51.633331,34.570087,12413673
2007-06-08,51.333332,51.633331,49.966667,50.200001,33.610435,27383004
2007-06-11,51.000000,51.966667,50.666664,51.299999,34.346912,13144023
2007-06-12,51.666664,51.783333,50.900002,51.283333,34.335758,7473276
2007-06-13,51.333332,51.333332,50.433334,50.683334,33.934036,8674155
2007-06-14,51.083332,51.466667,50.450001,50.533333,33.833603,11590317
2007-06-15,50.966667,51.166664,50.650002,50.799999,34.012150,14691459
2007-06-18,50.900002,51.250000,50.783333,51.000000,34.146057,17788944
2007-06-19,51.000000,51.333332,50.916664,51.016666,34.157211,8077512
2007-06-20,51.266666,51.883331,50.966667,51.683334,34.603569,7825551
2007-06-21,51.333332,51.750000,50.933334,51.466667,34.458515,16913541
2007-06-22,51.033333,51.566666,51.033333,51.333332,34.369232,17098128
2007-06-25,51.666664,51.666664,51.083332,51.383331,34.402706,14121201
2007-06-26,51.150002,51.833332,51.000000,51.383331,34.402706,7738242
2007-06-27,51.500000,51.500000,50.950001,51.200001,34.279968,8236041
2007-06-28,51.333332,52.483334,50.933334,51.700001,34.614731,17808393
2007-06-29,52.333332,52.366665,51.216667,51.566666,34.525452,6677904
2007-07-02,51.666664,51.733334,51.250000,51.333332,34.369232,10219314
2007-07-03,51.333332,52.250000,51.333332,52.116665,34.893692,5487099
2007-07-04,52.116665,52.816666,52.000000,52.650002,35.250778,3888723
2007-07-05,52.700001,52.816666,51.666664,51.883331,34.737476,6717618
2007-07-06,48.333332,52.799999,48.333332,51.833332,34.703995,16496760
2007-07-09,52.016666,52.466667,51.616665,51.883331,34.737476,7851909
2007-07-10,51.849998,51.849998,51.000000,51.233334,34.302280,14160882
2007-07-11,51.266666,51.333332,50.433334,50.849998,34.045624,20742816
2007-07-12,51.000000,51.599998,50.799999,50.966667,34.123734,26373162
2007-07-13,51.200001,52.483334,51.200001,51.783333,34.670509,20526747
2007-07-16,51.666664,52.483334,50.866665,51.416664,35.125957,28828740
2007-07-17,52.000000,52.166664,51.500000,51.900002,35.456161,30673638
2007-07-18,51.983334,52.116665,50.933334,51.366665,35.091801,14444799
2007-07-19,51.500000,51.666664,50.883331,51.316666,35.057648,10766118
2007-07-20,51.650002,51.666664,51.033333,51.466667,35.160130,7099656
2007-07-23,51.033333,51.500000,51.000000,51.200001,34.977947,6378633
2007-07-24,51.333332,51.566666,50.666664,50.733334,34.659130,15162246
2007-07-25,50.750000,55.666664,50.666664,55.299999,37.778915,75164535
2007-07-26,55.333332,56.500000,54.033333,55.900002,38.188808,32333991
2007-07-27,55.333332,59.966667,53.516666,57.466667,39.259098,76837221
2007-07-30,58.666664,58.666664,55.383331,55.816666,38.131882,32218302
2007-07-31,56.000000,58.316666,55.966667,57.000000,38.940289,23817846
2007-08-01,56.833332,57.000000,54.766666,55.683334,38.040794,18224298
2007-08-02,55.983334,56.566666,55.000000,55.933334,38.211582,12891420
2007-08-03,56.133331,57.566666,56.083332,56.583332,38.655632,15345726
2007-08-06,55.000000,57.833332,54.716667,57.516666,39.293259,11314686
2007-08-07,57.666664,58.316666,55.433334,55.650002,38.018021,20172537
2007-08-08,57.333332,57.666664,55.400002,55.799999,38.120499,14994141
2007-08-09,56.500000,56.966667,54.450001,54.650002,37.334858,13873098
2007-08-10,54.500000,54.883331,52.066666,54.466667,37.209606,13346586
2007-08-13,55.000000,55.316666,54.366665,54.933334,37.528423,7220988
2007-08-14,55.316666,55.516666,54.316666,55.000000,37.573963,8351328
2007-08-16,54.000000,54.333332,51.783333,52.533333,35.888821,17810775
2007-08-17,52.666664,53.166664,50.799999,51.183334,34.966564,24009234
2007-08-20,53.000000,53.000000,52.000000,52.099998,35.592785,16638957
2007-08-21,52.666664,52.666664,50.583332,50.733334,34.659130,18261807
2007-08-22,51.633331,53.533333,51.166664,52.750000,36.036842,29450820
2007-08-23,53.366665,54.666664,53.150002,53.466667,36.526440,17020413
2007-08-24,52.599998,54.500000,52.599998,53.883331,36.811100,6046635
2007-08-27,54.500000,55.166664,54.033333,55.033333,37.596737,7344531
2007-08-28,55.033333,56.733334,52.366665,55.816666,38.131882,20472189
2007-08-29,54.333332,56.633331,54.333332,56.183334,38.382378,13940208
2007-08-30,56.000000,57.650002,56.000000,57.200001,39.076927,42645483
2007-08-31,57.500000,57.500000,56.633331,56.933334,38.894753,11197038
2007-09-03,56.883331,58.200001,56.666664,57.933334,39.577911,11297976
2007-09-04,58.233334,58.233334,56.783333,57.583332,39.338802,8059731
2007-09-05,57.650002,57.833332,56.833332,57.349998,39.179390,6402999
2007-09-06,56.750000,58.916664,56.750000,58.316666,39.839790,7050153
2007-09-07,58.500000,60.266666,58.383331,59.266666,40.488792,19811895
2007-09-10,58.666664,61.666664,58.416664,61.566666,42.060066,24084165
2007-09-11,61.683334,63.000000,60.883331,61.283333,41.866505,20366586
2007-09-12,61.416664,62.000000,59.533333,59.966667,40.967007,8783838
2007-09-13,60.166664,60.466667,59.316666,59.666664,40.762051,11268111
2007-09-14,60.099998,61.549999,59.900002,60.316666,41.206112,14623773
2007-09-17,60.500000,61.333332,59.783333,60.283333,41.183338,8504496
2007-09-18,60.000000,60.633331,59.733334,60.083332,41.046707,5669133
2007-09-19,60.166664,63.099998,60.166664,62.450001,42.663528,25699674
2007-09-20,62.666664,65.000000,62.333332,64.699997,44.200649,27971304
2007-09-21,64.666664,64.666664,62.400002,63.633331,43.471931,18206523
2007-09-24,62.666664,64.300003,62.299999,62.549999,42.731838,12388734
2007-09-25,61.866665,63.333332,61.750000,62.383331,42.617977,14389671
2007-09-26,62.666664,63.133331,61.250000,61.516666,42.025906,10402392
